#Circular motion
13.6623 0.55524
13.6726 0.552908
13.6829 0.550627
13.6932 0.548397
13.7035 0.546219
13.7137 0.544091
13.7239 0.542015
13.7342 0.53999
13.7444 0.538016
13.7545 0.536092
13.7647 0.53422
13.7749 0.532398
13.785 0.530627
13.7951 0.528907
13.8052 0.527237
13.8153 0.525617
13.8254 0.524048
13.8355 0.52253
13.8455 0.521061
13.8556 0.519643
13.8656 0.518274
13.8756 0.516956
13.8857 0.515688
13.8957 0.514469
13.9056 0.513301
13.9156 0.512182
13.9256 0.511112
13.9355 0.510092
13.9455 0.509122
13.9554 0.508201
13.9654 0.507329
13.9753 0.506507
13.9852 0.505734
13.9951 0.50501
14.005 0.504335
14.0149 0.503708
14.0248 0.503131
14.0347 0.502603
14.0446 0.502124
14.0545 0.501693
14.0643 0.501312
14.0742 0.500979
14.0841 0.500694
14.0939 0.500458
14.1038 0.500271
14.1136 0.500133
14.1235 0.500043
14.1333 0.500001
14.1432 0.500009
14.153 0.500064
14.1629 0.500168
14.1727 0.500321
14.1826 0.500522
14.1924 0.500772
14.2023 0.50107
14.2121 0.501416
14.222 0.501811
14.2319 0.502255
14.2417 0.502747
14.2516 0.503288
14.2615 0.503878
14.2713 0.504516
14.2812 0.505202
14.2911 0.505938
14.301 0.506722
14.3109 0.507555
14.3208 0.508437
14.3307 0.509367
14.3406 0.510347
14.3505 0.511375
14.3605 0.512453
14.3704 0.513579
14.3804 0.514755
14.3903 0.51598
14.4003 0.517254
14.4103 0.518577
14.4203 0.51995
14.4303 0.521372
14.4403 0.522844
14.4503 0.524365
14.4603 0.525936
14.4704 0.527556
14.4804 0.529227
14.4905 0.530946
14.5006 0.532716
14.5107 0.534536
14.5208 0.536405
14.5309 0.538325
14.541 0.540295
14.5512 0.542315
14.5614 0.544385
14.5715 0.546505
14.5817 0.548675
14.5919 0.550896
14.6022 0.553167
14.6124 0.555488
14.6227 0.55786
14.6329 0.560282
14.6432 0.562755
14.6535 0.565278
14.6639 0.567852
14.6742 0.570477
14.6846 0.573151
14.6949 0.575877
14.7053 0.578653
14.7158 0.581479
14.7262 0.584356
14.7366 0.587283
14.7471 0.590261
14.7576 0.593289
14.7681 0.596368
14.7786 0.599497
14.7892 0.602677
14.7998 0.605906
14.8103 0.609186
14.8209 0.612516
14.8316 0.615896
14.8422 0.619326
14.8529 0.622806
14.8636 0.626335
14.8743 0.629915
14.885 0.633544
14.8958 0.637222
14.9065 0.640949
14.9173 0.644726
14.9281 0.648551
14.939 0.652426
14.9498 0.656349
14.9607 0.66032
14.9716 0.66434
14.9825 0.668408
14.9935 0.672524
15.0045 0.676687
15.0154 0.680898
15.0265 0.685156
15.0375 0.68946
15.0485 0.693812
15.0596 0.69821
15.0707 0.702653
15.0818 0.707143
15.093 0.711678
15.1042 0.716258
15.1153 0.720884
15.1266 0.725553
15.1378 0.730267
15.1491 0.735024
15.1603 0.739825
15.1716 0.744669
15.183 0.749555
15.1943 0.754484
15.2057 0.759454
15.2171 0.764466
15.2285 0.769518
15.24 0.774611
15.2514 0.779744
